at_request,ts_iso,elapsed_s,metric,value
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:n_busy_slots_per_decode,1.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:n_decode_total,7910.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:n_tokens_max,29361.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:predicted_tokens_seconds,0.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:prompt_seconds_total,1601.87
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:prompt_tokens_cached_total,1219860.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:prompt_tokens_seconds,0.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:prompt_tokens_total,390842.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:requests_deferred,0.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:requests_processing,0.0
0,2026-08-27T14:42:16.687+00:00,0.046,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",6710.0
0,2026-08-27T14:42:16.687+00:00,0.046,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
0,2026-08-27T14:42:16.687+00:00,0.046,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
0,2026-08-27T14:42:16.687+00:00,0.046,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:spec_decode_num_accepted_tokens_total,21671.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:spec_decode_num_draft_tokens_total,30076.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:spec_decode_num_drafts_total,7519.0
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:tokens_predicted_seconds_total,1914.06
0,2026-08-27T14:42:16.687+00:00,0.046,llamacpp:tokens_predicted_total,29274.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:n_busy_slots_per_decode,1.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:n_decode_total,8010.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:n_tokens_max,29361.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:predicted_tokens_seconds,8.96604
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:prompt_seconds_total,1646.04
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:prompt_tokens_cached_total,1219860.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:prompt_tokens_seconds,276.423
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:prompt_tokens_total,403051.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:requests_deferred,0.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:requests_processing,0.0
50,2026-08-27T14:45:44.888+00:00,208.247,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",6760.0
50,2026-08-27T14:45:44.888+00:00,208.247,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
50,2026-08-27T14:45:44.888+00:00,208.247,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
50,2026-08-27T14:45:44.888+00:00,208.247,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
50,2026-08-27T14:45:44.888+00:00,208.247,llamacpp:spec_decode_num_accepted_tokens_total,21721.0
