task,run,arm,pass,wall_s,turns,tool_calls,tokens_in_harness,tokens_out_harness,cache_read_harness,prompt_tokens_metrics,predicted_tokens_metrics,cached_tokens_metrics,max_identical_streak,refine_calls,continuations,errors,stop_reason,subagents,exit_code
agg-03,1,P1,pass,42.818,5,3,5533,187,16281,5533,187,16281,1,0,0,0,stop,0,0
agg-03,2,P1,pass,49.304,5,3,5432,248,16182,5432,248,16182,1,0,0,0,stop,0,0
agg-03,3,P1,pass,49.798,6,4,5583,254,22071,5583,254,22071,1,0,0,0,stop,0,0
agg-04,1,P1,fail,80.841,6,4,5935,665,23829,5935,665,23829,1,0,0,0,stop,0,0
agg-04,2,P1,pass,114.555,8,6,6059,1074,36855,6059,1074,36855,1,0,0,0,stop,0,0
agg-04,3,P1,pass,60.43,5,3,5859,359,17247,5859,359,17247,1,0,0,0,stop,0,0
agg-07,1,P1,pass,95.728,7,5,7465,797,33773,7465,797,33773,1,0,0,0,stop,0,0
agg-07,2,P1,pass,143.565,8,6,12994,1125,31820,12994,1125,31820,1,0,0,0,stop,0,0
agg-07,3,P1,pass,105.259,8,6,6415,966,38264,6415,966,38264,1,0,0,0,stop,0,0
codeqa-01,1,P1,pass,49.04,4,2,4992,247,10336,4992,247,10336,1,0,0,0,stop,0,0
codeqa-01,2,P1,pass,43.108,4,2,5013,252,10271,5013,252,10271,1,0,0,0,stop,0,0
codeqa-01,3,P1,pass,51.015,4,2,4991,276,10361,4991,276,10361,1,0,0,0,stop,0,0
codeqa-03,1,P1,pass,43.748,4,2,4998,223,10294,4998,223,10294,1,0,0,0,stop,0,0
codeqa-03,2,P1,pass,46.365,5,3,5094,257,15611,5094,257,15611,1,0,0,0,stop,0,0
codeqa-03,3,P1,pass,50.113,4,2,5005,296,10364,5005,296,10364,1,0,0,0,stop,0,0
codeqa-05,1,P1,pass,68.585,6,4,5214,567,21358,5214,567,21358,1,0,0,0,stop,0,0
codeqa-05,2,P1,pass,47.061,5,3,5060,234,15471,5060,234,15471,1,0,0,0,stop,0,0
codeqa-05,3,P1,pass,41.683,4,2,4998,188,10228,4998,188,10228,1,0,0,0,stop,0,0
needle-02,1,P1,pass,69.655,5,3,7292,361,18057,7292,361,18057,1,0,0,0,stop,0,0
needle-02,2,P1,pass,69.058,6,4,5856,582,22609,5856,582,22609,1,0,0,0,stop,0,0
needle-02,3,P1,pass,56.947,5,3,6035,414,17135,6035,414,17135,1,0,0,0,stop,0,0
synth-02,1,P1,pass,52.917,6,4,5678,307,22511,5678,307,22511,1,0,0,0,stop,0,0
synth-02,2,P1,pass,123.628,12,10,6785,1182,64938,6785,1182,64938,1,0,0,0,stop,0,0
synth-02,3,P1,pass,58.186,6,4,5875,332,22204,5875,332,22204,1,0,0,0,stop,0,0
