ts,zone,temp_c
2026-08-12T23:53:04.3445298-04:00,ACPI\ThermalZone\TZ01_0,55.1
2026-08-12T23:53:19.3824014-04:00,ACPI\ThermalZone\TZ01_0,55.1
2026-08-12T23:53:34.4322145-04:00,ACPI\ThermalZone\TZ01_0,55.1
2026-08-12T23:53:49.5056809-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:54:04.5520325-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:54:19.5864605-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:54:34.6159109-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:54:49.6520533-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:55:04.6921934-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:55:19.7293894-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:55:34.7581103-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:55:49.7813786-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:56:04.8119984-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:56:19.8479636-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:56:34.8851272-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:56:49.9163813-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:57:04.9478066-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:57:19.9845837-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:57:35.0140414-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:57:50.0510155-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:58:05.0867143-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:58:20.1213118-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:58:35.1467793-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:58:50.1760220-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:59:05.2082689-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:59:20.2397220-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:59:35.2668075-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-12T23:59:50.3039737-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:00:05.3344265-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:00:20.3713316-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:00:35.4129477-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:00:50.4550583-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:01:05.4868507-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:01:20.5286701-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:01:35.5672239-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:01:50.6012105-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:02:05.6356666-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:02:20.6762489-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:02:35.7131455-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:02:50.7417024-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:03:05.7712975-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:03:20.8051144-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:03:35.8350123-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:03:50.8691228-04:00,ACPI\ThermalZone\TZ01_0,96.1
2026-08-13T00:04:05.8962413-04:00,ACPI\ThermalZone\TZ01_0,96.1
